SourceName	Organism	Strain	OrganismPart	CellType	characteristics[growth condition]	BiologicalReplicate	AssayName	technology type	comment[data file]	TechnicalReplicate	FractionIdentifier	Label	ReductionReagent	AlkylationReagent	Instrument	CleavageAgent	Modification	FragmentationMethod	CollisionEnergy
Sample 1	Haloferax volcanii DS2	RR01	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	Run 1	proteomic profiling by mass spectrometry	StS_FASP-RR01_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	RR02	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	Run 2	proteomic profiling by mass spectrometry	StS_FASP-RR02_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	RR03	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	Run 3	proteomic profiling by mass spectrometry	StS_FASP-RR03_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	JS27	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	Run 4	proteomic profiling by mass spectrometry	StS_FASP-WT_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 5	Haloferax volcanii DS2	FH54	culture supernatant	prokaryotic cell	Exponential growth phase	1	Run 5	proteomic profiling by mass spectrometry	StS_Hvo_1143_Try_SN_Big12_20160929.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 6	Haloferax volcanii DS2	AF103	culture supernatant	prokaryotic cell	Exponential growth phase	1	Run 6	proteomic profiling by mass spectrometry	StS_Hvo_ArtA_Try_SN_Big12_20160929.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 7	Haloferax volcanii DS2	H53	culture supernatant	prokaryotic cell	Exponential growth phase	2	Run 7	proteomic profiling by mass spectrometry	StS_Hvo_wt_Try_SN_Big12_20160929.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 5	Haloferax volcanii DS2	FH54	culture supernatant	prokaryotic cell	Exponential growth phase	2	Run 8	proteomic profiling by mass spectrometry	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 6	Haloferax volcanii DS2	AF103	culture supernatant	prokaryotic cell	Exponential growth phase	2	Run 9	proteomic profiling by mass spectrometry	StS_Hvo_ArtA_GluC_SN_Big12_20160929.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 7	Haloferax volcanii DS2	H53	culture supernatant	prokaryotic cell	Exponential growth phase	2	Run 17	proteomic profiling by mass spectrometry	StS_Hvo_wt_GluC_SN_Big12_20160929.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
